Broad ID,Comment,MW,Sol. (uM),Plate,Barcode,BC Added,Well,Stock Conc. (mM),Conc (uM),384W Dest.,Total Vol. (uL),Test [Cpd] uM,fold_dil,num_pts,Buffer (uL),Cmpd to Add (uL),DMSO to Add (uL)
BRD-K81106261-001-01-4,Control,496.557,500,Plate_02,1154027486,1154027486,D11,10,10000,A12,200,50,2,10,190,1,9
BRD-K56880680-001-02-6,Test,383.09,,Plate_02,1147052942,1147052942,D03,10,10000,A24,200,50,2,10,190,1,9
BRD-K72959598-001-01-1,Test,356.12,,Plate_02,1154027021,1154027021,G03,10,10000,B12,200,50,2,10,190,1,9
BRD-K03745002-001-02-6,Test,480.14,,Plate_02,1147052943,1147052943,D04,10,10000,B24,200,50,2,10,190,1,9
BRD-K90200239-001-01-3,Test,456.14,,Plate_02,1147052944,1147052944,D05,10,10000,C12,200,50,2,10,190,1,9
BRD-K18123439-001-01-4,Test,369.07,,Plate_02,1147052947,1147052947,D07,10,10000,C24,200,50,2,10,190,1,9
BRD-K87169873-001-01-6,Test,332.11,,Plate_02,1147053134,1147053134,C10,10,10000,D12,200,50,2,10,190,1,9
BRD-K64112518-001-01-4,Test,484.17,,Plate_02,1129672871,1129672871,B11,10,10000,D24,200,50,2,10,190,1,9
BRD-K81106261-001-01-4,Control,496.557,500,Plate_02,1154027486,1154027486,D11,10,10000,E12,200,50,2,10,190,1,9
BRD-K81106261-001-01-4,Test,496.17,,Plate_02,1154027486,1154027486,D11,10,10000,E24,200,50,2,10,190,1,9
BRD-K40859879-001-01-2,Test,369.07,,Plate_03,1154026607,1154026607,A04,10,10000,F12,200,50,2,10,190,1,9
BRD-K66467881-001-02-7,,442.12,,Plate_01,1154022106,1154022106,F11,10,10000,F24,200,50,2,10,190,1,9
BRD-K76055597-001-01-5,Test,411.453,,Plate_04,1158361798,1158361798,A04,10,10000,G12,200,50,2,10,190,1,9
BRD-K23780629-001-01-4,Test,411.453,,Plate_04,1158361854,1158361854,A06,10,10000,G24,200,50,2,10,190,1,9
BRD-K78638064-001-01-0,Test,317.32,,Plate_04,1153037293,1153037293,B10,10,10000,H12,200,50,2,10,190,1,9
BRD-K40058887-001-01-1,Test,317.32,,Plate_04,1153037289,1153037289,C02,10,10000,H24,200,50,2,10,190,1,9
BRD-K81106261-001-01-4,Control,496.557,500,Plate_02,1154027486,1154027486,D11,10,10000,I12,200,50,2,10,190,1,9
