Broad ID,Comment,MW,Sol. (uM),Plate,Barcode,BC Added,Well,Stock Conc. (mM),Conc (uM),384W Dest.,Total Vol. (uL),Test [Cpd] uM,fold_dil,num_pts,Buffer (uL),Cmpd to Add (uL),DMSO to Add (uL)
BRD-K07926611-001-02-1,Test,523.503,,MO00000590,1153037086,,A05,10,10000,G8,200,30,3,6,196,0.6,3.4
BRD-K08846312-001-01-4,Test,472.619,,MO00000590,1153037087,,A06,10,10000,H8,200,30,3,6,196,0.6,3.4
BRD-K17670867-001-01-6,Test,389.488,,MO00000590,1153037088,,A07,10,10000,I8,200,30,3,6,196,0.6,3.4
BRD-K18947893-001-01-5,Test,383.482,,MO00000590,1153037090,,A09,10,10000,K8,200,30,3,6,196,0.6,3.4
BRD-K22363901-001-01-9,Test,556.646,,MO00000590,1153037089,,A08,10,10000,J8,200,30,3,6,196,0.6,3.4
BRD-K25895308-001-02-4,Test,360.474,,MO00001245,1153036737,,C01,10,10000,J24,200,30,3,6,196,0.6,3.4
BRD-K39070955-001-01-6,Test,487.593,,MO00001245,1153036755,,B06,10,10000,I16,200,30,3,6,196,0.6,3.4
BRD-K42776812-001-01-6,Test,432.556,,MO00001245,1153036753,,B04,10,10000,G16,200,30,3,6,196,0.6,3.4
BRD-K42907321-001-02-9,Test,487.565,,MO00001245,1153036742,,B08,10,10000,K16,200,30,3,6,196,0.6,3.4
BRD-K43571148-001-01-5,Test,518.646,,MO00001245,1153036741,,B09,10,10000,L16,200,30,3,6,196,0.6,3.4
BRD-K49040541-001-01-8,Test,449.497,,MO00001245,1153036754,,B05,10,10000,H16,200,30,3,6,196,0.6,3.4
BRD-K54466358-001-01-9,Test,485.639,,MO00001245,1153036739,,B11,10,10000,H24,200,30,3,6,196,0.6,3.4
BRD-K64987219-001-01-1,Test,500.606,,MO00001245,1153036752,,B03,10,10000,L8,200,30,3,6,196,0.6,3.4
BRD-K68383478-001-03-1,Test,513.631,,MO00001245,1153036738,,B12,10,10000,I24,200,30,3,6,196,0.6,3.4
BRD-K69471793-001-02-3,Test,322.358,,MO00001245,1153036735,,C03,10,10000,L24,200,30,3,6,196,0.6,3.4
BRD-K72678526-001-01-4,Test,327.417,,MO00001245,1153036736,,C02,10,10000,K24,200,30,3,6,196,0.6,3.4
BRD-K82633310-001-01-7,Test,473.565,,MO00001245,1153036740,,B10,10,10000,G24,200,30,3,6,196,0.6,3.4
BRD-K97740378-001-01-2,Test,488.62,,MO00001245,1153036743,,B07,10,10000,J16,200,30,3,6,196,0.6,3.4
