Broad ID,Comment,MW,Sol. (uM),Plate,Barcode,BC Added,Well,Stock Conc. (mM),Conc (uM),384W Dest.,Total Vol. (uL),Test [Cpd] uM,fold_dil,num_pts,Buffer (uL),Cmpd to Add (uL),DMSO to Add (uL),
BRD-A88176011-001-02-3,Test,290.384,,plate01,TV097345,,A01,10,10000,I8,200,30,3,6,196,0.6,3.4,
BRD-A91625778-001-01-9,Test,373.405,,MO00000839,1153037152,,A01,10,10000,I16,200,30,3,6,196,0.6,3.4,
BRD-K75102152-001-01-3,Test,348.422,,MO00000839,1153037153,,A02,10,10000,I24,200,30,3,6,196,0.6,3.4,
BRD-K02667399-001-01-6,Test,397.494,,MO00000839,1153037158,,A03,10,10000,J8,200,30,3,6,196,0.6,3.4,
BRD-K79802193-001-01-5,Test,321.398,,MO00000839,1153037159,,A04,10,10000,J16,200,30,3,6,196,0.6,3.4,
BRD-K26223693-001-01-3,Test,335.425,,MO00000839,1153037154,,A05,10,10000,J24,200,30,3,6,196,0.6,3.4,
BRD-K25595606-001-01-1,Test,276.271,,MO00000839,1153037155,,A06,10,10000,K8,200,30,3,6,196,0.6,3.4,
BRD-A25676204-001-01-7,Test,399.467,,MO00000839,1153037160,,A07,10,10000,K16,200,30,3,6,196,0.6,3.4,
BRD-K88323596-001-01-4,Test,410.403,,MO00000839,1153037161,,A08,10,10000,K24,200,30,3,6,196,0.6,3.4,precipitation observed in DMSO stpck
BRD-K27446587-001-01-8,Test,324.357,,MO00000839,1153037156,,A09,10,10000,L8,200,30,3,6,196,0.6,3.4,
BRD-K69912039-001-01-2,Test,475.95,,MO00000839,1153037157,,A10,10,10000,L16,200,30,3,6,196,0.6,3.4,
BRD-K53386419-001-02-5,Test,328.776,,MO00000839,1153037141,,A11,10,10000,L24,200,30,3,6,196,0.6,3.4,
BRD-K90103152-001-01-2,Test,459.563,,MO00000839,1153037140,,A12,10,10000,M8,200,30,3,6,196,0.6,3.4,
BRD-A64189544-001-01-2,Test,307.371,,MO00000839,1153037151,,B01,10,10000,M16,200,30,3,6,196,0.6,3.4,
BRD-K83901947-001-01-8,Test,343.403,,MO00000839,1153037150,,B02,10,10000,M24,200,30,3,6,196,0.6,3.4,
BRD-A88823204-001-01-9,Test,371.457,,MO00000839,1153037149,,B03,10,10000,N8,200,30,3,6,196,0.6,3.4,
BRD-A14941111-001-01-0,Test,438.546,,MO00000839,1153037148,,B04,10,10000,N16,200,30,3,6,196,0.6,3.4,
BRD-A88176011-001-02-3,Test,290.384,,plate01,TV097345,,A01,10,10000,N24,200,30,3,6,196,0.6,3.4,
